Date,Job Title,Application URL,Company,Salary
4/4,Principal Product Designer - News App,https://job-boards.greenhouse.io/thenewyorktimes/jobs/4587283005,The New York Times,$188,000-$225,000
4/4,Senior Product Designer,https://job-boards.greenhouse.io/check/jobs/5825315004,Check,$200,000-$220,000
4/4,Director - Product Design,https://job-boards.greenhouse.io/smartsheet/jobs/7630792,Smartsheet,$235,000-$275,000
4/4,Lead Product Designer,https://job-boards.greenhouse.io/karat/jobs/8154206002,Karat,$185,000-$200,000
4/4,Staff Product Designer,https://job-boards.greenhouse.io/rapidsos/jobs/5054559007,RapidSOS,$190,000-$220,000
4/4,Senior Product Design Manager - Payroll,https://job-boards.greenhouse.io/gusto/jobs/7254336,Gusto,$202,000-$253,000
4/4,Product Designer,https://jobs.ashbyhq.com/ramp/eca54d0e-232a-4c3e-bfcc-d6c6add393f5,Ramp,$172,000-$440,000
4/4,Sr Product Designer - Mobile,https://job-boards.greenhouse.io/mercury/jobs/5843845004,Mercury,$189,000-$236,200
4/4,Sr Product Designer - Financial Crimes,https://job-boards.greenhouse.io/mercury/jobs/5800118004,Mercury,$189,000-$236,200
4/4,Sr Product Designer - Design Systems,https://job-boards.greenhouse.io/mercury/jobs/5752087004,Mercury,$185,200-$225,200
4/4,Sr Product Designer - Spend Management,https://job-boards.greenhouse.io/mercury/jobs/5477225004,Mercury,$180,200-$225,200
4/4,Product Design Manager - Engagement,https://job-boards.greenhouse.io/discord/jobs/8401077002,Discord,$220,000-$247,500
4/4,Director of Product Design,https://job-boards.greenhouse.io/glossgenius/jobs/7643217003,GlossGenius,$240,000-$285,000
4/4,Staff Product Designer,https://job-boards.greenhouse.io/glossgenius/jobs/7580118003,GlossGenius,$215,000-$258,000
4/4,Product Design Manager - Connect,https://stripe.com/jobs/listing/product-design-manager-connect/6518213,Stripe,$194,900-$292,300
4/4,Senior Staff Product Designer - Payments,https://stripe.com/jobs/listing/senior-staff-product-designer-payments/7202630,Stripe,$251,200-$376,800
4/4,Staff Product Designer - Dashboard,https://stripe.com/jobs/listing/staff-product-designer-dashboard/6894953,Stripe,$206,900-$310,300
